talkid;name;role;bio
f05f85dc745ac9f845e833f5a51c40db;Chris Love;Founder, CNM Consulting;Chris Love has been coding for over 20 years, as well as contributing to OSS. Currently, he contributes to Google Helmsman (github.com/topics/gke-helmsman), kops, and other things K8s.  |   |  Chris has architected projects with companies such as Google, Motorola, Inuit, and CenturyLink... Read More →
eaf44ee1917135763f794d4ec5b5703a;Jason Murray;Cloud Infrastructure Engineer, iNNOVO Cloud GmbH;Jason Murray is a Cloud Infrastructure Engineer at iNNOVO Cloud . He is a Kubernetes member focusing on SIG Cluster Lifecycle and SIG OpenStack. Jason is also the host of the weekly Cluster API Provider Implementers EMEA SIG Cluster Lifecycle meeting. Prior to joining iNNOVO, Jason... Read More →
eaf44ee1917135763f794d4ec5b5703a;Nikhita Raghunath;Software Engineer, Loodse;Nikhita is a software engineer at Loodse and is a contributor to Kubernetes. She is also a CNCF Ambassador and the technical lead for SIG Contributor Experience.
eaf44ee1917135763f794d4ec5b5703a;Kris Nova;Independent;Kris is a freelance Kubernetes developer. She was previously a senior developer advocate at VMware where she focused on containers, infrastructure, and Kubernetes. Kris is also an ambassador for the Cloud Native Computing Foundation. Nova has a technical background in the Go programming... Read More →
eaf44ee1917135763f794d4ec5b5703a;James Munnelly;Solutions Engineer, Jetstack.io;James is a Solutions Engineer at Jetstack, which involves helping customers bend and break Kubernetes to their will. |  He helps maintain a number of extensions to Kubernetes, including cert-manager (a Kubernetes native x509 certificates platform), kubernetes-sigs/kind (Kubernetes-in-Docker... Read More →
eaf44ee1917135763f794d4ec5b5703a;Cyrine Jabri;Cloud Infrastructure Engineer, iNNOVO Cloud GmbH;Cyrine has recently joined the Kubernetes community, and works as a Cloud Infrastructure Engineer at iNNOVO Cloud. Cyrine recently completed her masters studies in Computer science. She focuses primarily on SIG Cluster Lifecycle projects, specifically Cluster API.
56586b09af54b617c5b662db75f7786a;Daniel Smith;Staff Software Engineer, Google;Daniel has been working on Kubernetes since before it was open sourced, contributing enough in the early days that he’s still one of the top contributors overall. Currently, he is co-Chair and co-TL of the Kubernetes API Machinery SIG, and TL of the corresponding Google team. Before... Read More →
3e8f6b5af19bf65b5844e1c67287c643;Terence Lee;Principal Languages Engineer, Heroku;
3e8f6b5af19bf65b5844e1c67287c643;Stephen Levine;Staff Software Engineer, Pivotal;Stephen Levine is a Pivotal product manager and software engineer. He is the Cloud Foundry Project Lead for CF Local, CF Dev, and the core CF Buildpacks, as well as a co-owner of the Cloud Native Buildpacks project in the CNCF's Cloud Native Sandbox.
f397d79b6a8db51d40fbc2d0a6748934;Jorge Salamero Sanz;Director of Technical Marketing, Sysdig;
c93be9cf5c877763e2dddb1c143a77bf;(Haining Henry) Zhang;Technical Director, VMware;Henry Zhang is the Chief Architect of China R&D, VMware. His primary role is to lead the development and incubation of projects on emerging technologies, including container, blockchain and AI. He was the founder of CNCF’s Project Harbor. Henry was the first evangelist in China... Read More →
c93be9cf5c877763e2dddb1c143a77bf;Steven Ren;Senior Manager, VMware;
f150c6def16354f6413475c03cd08b27;Jaice Singer DuMars;Cloud Native Strategy Program Manager, Google;Jaice Singer DuMars is an active servant leader within the cloud native ecosystem. As the Cloud Native OSS Program Manager at Google, they are focused on building and sustaining healthy, inclusive, diverse, and scalable open source communities. As a former Kubernetes release leader... Read More →
edee17423a91d309d926d634eaadf9be;Rita Zhang;Principal Software Engineer, Microsoft;Rita Zhang is a software engineer at Microsoft, based in San Francisco. She is on the Azure Cloud Native Compute team building features for Kubernetes upstream and for Azure Kubernetes Service. Rita is passionate about open source and running distributed workloads at scale.
edee17423a91d309d926d634eaadf9be;Max Smythe;Software Engineer, Google;Max Smythe is a Software Engineer at Google working to make Kubernetes easier to manage at scale. He is excited about the potential Gatekeeper has to streamline compliance and make life easier on cluster admins. Previously he worked at a startup as a backend developer and in the VFX... Read More →
10c73775b8d8dde826e6f26146228456;Justin Cappos;Professor, New York University;Justin Cappos is a professor in the Computer Science and Engineering department at New York University, who strives to provide service to society through technology. Justin's research philosophy focuses on solving real world security problems in practice. He and his students often... Read More →
10c73775b8d8dde826e6f26146228456;Justin Cormack;Security Engineer, Docker;Justin Cormack is a senior security engineer at Docker, a maintainer of the CNCF Notary project, a contributor to several other CNCF and OCI projects, and a maintainer of the Docker engine and LinuxKit. He works on application security and container isolation, among other areas. He... Read More →
df5fa6b203abc37238d2ed84ba2cfb2c;Mikkel Larsen;Senior Software Engineer, Zalando SE;Mikkel is a Senior Software Engineer working at Europe's leading online Fashion platform, Zalando since 2016. He works in the Platform Infrastructure team focusing on Kubernetes and AWS infrastructure and has a big interest in Continuous Delivery and automation.
ade2d0c140d70cf3a1056d769555c343;Miguel Martinez;Senior Software Engineer, Bitnami;Miguel Martinez is a member of the engineering team at Bitnami and core contributor of the Helm and Monocular projects. He is currently working on Kubeapps, an open source application dashboard for Kubernetes. He loves Ruby, describes himself as a full stack engineer and complains... Read More →
afaeb40f993502fd0a80d1ac63272526;Álex González;Tech lead, BBVA Next Technologies;Currently working at BBVA as tech lead for the PaaS team, he spends his free time playing around with Go & everything that smells as a container. He is now back in Spain after one year living in Milán but he managed to survive without learning any Italian, so if you are Italian please... Read More →
afaeb40f993502fd0a80d1ac63272526;Héctor Rodes López;CTO, Adhara;Passionate developer since I discover Basic language at the age of 8. I’ve spent most of my working live building, deploying and operating distributed systems at scale in different countries in private data centers and public clouds. In my last three years I’ve been involved in... Read More →
57b407ee63593d7bd1e72297e377ba2b;Dan Berg;Distinguished Engineer, IBM;Daniel is an IBM Distinguished Engineer responsible for the technical architecture and delivery of the IBM Cloud Kubernetes Service and Istio. Daniel has deep knowledge of container technologies including Docker and Kubernetes and has extensive experience building and operating highly... Read More →
57b407ee63593d7bd1e72297e377ba2b;Ram Vennam;Product Manager for IBM Cloud and Istio, IBM;Ram Vennam is a Product Manager and Developer Advocate for IBM with deep experience in the landscape of web application technology. He has worked in a number of development roles at IBM, with his current focus being on IBM Cloud Kubernetes Service and Istio. He is passionate about... Read More →
76b850a9511525b6bd606976ba3c6ead;Michael Elder;Distinguished Engineer, IBM;Michael is the IBM Distinguished Engineer for the IBM Multicloud Platform. Michael holds an M.S. in Computer Science from the University of North Carolina-Chapel Hill. He has numerous awarded patents and has been honored with three IBM Outstanding Technical Achievement awards. He... Read More →
76b850a9511525b6bd606976ba3c6ead;Brad Topol;Distinguished Engineer, IBM;Dr. Brad Topol is an IBM Distinguished Engineer leading efforts focused on Open Technologies and Developer Advocacy. In his current role, Brad leads a development team focused on contributing to and improving Kubernetes. Brad is a Kubernetes contributor, serves as a member of the... Read More →
ed8389bdbd1a72b8903942393542f8d9;John Studarus;Cloud Architect, JHL Consulting;For the last twenty years, John has been providing technical management services building and evaluating complex distributed systems across the telecommunications, pharmaceutical, and financial services industries. He's a graduate of the University of California, San Diego and Carnegie... Read More →
fdd59c974fdeec56901d9fb6c9e23fb2;Jennifer Buckley;Software Engineer, Google;Jennifer Buckley is a Software Engineer at Google, a member of Kubernetes SIG API Machinery, and a member of the Apply Working Group, which is focused on redesigning Kubectl Apply. She has also worked on the server-side dry-run feature, and improving dynamic admission webhooks... Read More →
fdd59c974fdeec56901d9fb6c9e23fb2;Phillip Wittrock;SWE, Google;Phillip Wittrock is Staff Software Engineer at Google, a member of the Kubernetes Steering Committee, and a Kubernetes SIG CLI Technical Lead. Phillip’s hobbies include debating how kubectl is pronounced and talking about Kubernetes at social events.  |   |  Positions Held: |  Kubernetes... Read More →
b30ac663d7c4dc30ade09d66260fbb12;Caleb Miles;Technical Program Manager, Open Source Strategy, Google;
c6841464cd56e2212b28f141c8471746;Adrien Trouillaud;Founder and CEO, Admiralty;Adrien Trouillaud is the founder and CEO of Admiralty, a Seattle-based startup developing open-source and managed multicluster solutions for Kubernetes. Adrien is the main author of multicluster-controller, multicluster-service-account, and multicluster-scheduler. Adrien is also a... Read More →
d8d5e9a6589814d93c63e3d4f4cdb998;Cheryl Hung;Director of Ecosystem, CNCF;Cheryl Hung is the Director of Ecosystem at the CNCF. Her mission is to increase the adoption of Kubernetes and cloud native by growing the community and advocating for end users. She founded and runs the Cloud Native London meetup. |   |  Previously Cheryl spent five years as a C... Read More →
fafcc597cd49c73b584b32e15ddf0510;Sylvain Hellegouarch;CTO, ChaosIQ;
06c403589ebddeed1a4d8825691adbb2;Timothy St. Clair;Kubernetes Steering Committee Member, VMware;Timothy St. Clair is a Staff Software Engineer at Heptio and is a core contributor to the Kubernetes project, a Steering Committee member, and a lead on SIG-Cluster-Lifecycle. Timothy has worked on the development and integration of various open source distributed systems projects... Read More →
06c403589ebddeed1a4d8825691adbb2;Lucas Käldström;CNCF Ambassador, Independent;Lucas is a cloud native enthusiast that just graduated from High School. Lucas is serving the Kubernetes community in various lead positions, e.g. as a co-lead for SIG Cluster Lifecycle shepherding kubeadm from inception to GA, porting Kubernetes to multiple platforms and by being... Read More →
6ac83cf45e37ff117b6068b166fbee6e;Jeyappragash Jeyakeerthi;tetrate.io;Jeyappragash previously built the team and lead the technical roadmap for Twitter's Cloud Infrastructure Management Platform. This platform helps developers manage their services and provides detailed visibility to the infrastructure and the services that use the infrastructures... Read More →
6ac83cf45e37ff117b6068b166fbee6e;Sarah Allen;;Sarah was a founding co-chaired the SAFE WG, now renamed to CNCF SIG-Security.  She has been worrying about security concerns, since first building Shockwave in the mid-90s (Netscape plug-in and ActiveX control). In early 2000s, she started developing open source as part of the OpenLaszlo... Read More →
4bfd0cd9fee9bc72e08797661ed3bd95;Elsie Phillips;Product Marketing Manager, Red Hat;Elsie herds the CoreOS Community and Co-Leads the Kubernetes Contributor Experience SIG. She's a northwest native who got her start in open source working at the Oregon State University Open Source Lab. In her free time she throws wild one woman dance parties and makes a mean vegan... Read More →
4bfd0cd9fee9bc72e08797661ed3bd95;Paris Pittman;Kubernetes OSS Strategy, Google;Paris is a Developer Relations Program Manager on Google Cloud's Open Source Strategy team focusing on the Kubernetes Community. She is a co-chair of the special interest group for Contributor Experience and an organizer of Bay Area Kubernetes Meetup with 4,000 members. She has 14... Read More →
32b78404a256dac0205668b43a5f803a;Zuozheng Hu;Senior Software Engineer, Alibaba Group;Zuozheng Hu, a Senior Engineer at Alibaba Group, is the founder of dragonfly and the primary member of SRE Team in Alibaba. I have been involved in devops for five years and have very rich experience in this field. At present, I am mainly responsible for the construction of hybrid... Read More →
32b78404a256dac0205668b43a5f803a;Allen Sun;Senior Software Engineer, Alibaba Cloud;Allen Sun, a Senior Engineer at Alibaba Group, is currently responsible for the open source construction of the PouchContainer project at Alibaba. I have been involved in cloud computing for over 5 years and is one of the first batch of researchers and practitioners of container technology... Read More →
1380085bfceae56d071b2b612bd617bc;Stephen Augustus;Sr. Cloud Native Architect, VMware;Stephen Augustus is an active leader in the Kubernetes community. He currently serves as the Product Management Chair for Kubernetes, and a Chair for both the Release and Azure SIGs. |   |  Stephen's job at VMware includes driving meaningful interactions between internal teams and... Read More →
1380085bfceae56d071b2b612bd617bc;Ihor Dvoretskyi;Developer Advocate, Cloud Native Computing Foundation;
5fbb918a309a0d6e2a56de5a769c92f0;Travis Nielsen;Senior Principal Software Engineer, Red Hat;Travis Nielsen is a Senior Principal Software Engineer at Red Hat where he works on “the future of storage” as part of the Ceph distributed storage system team. Before joining Red Hat, Travis helped found the Rook project as a Principal Software Engineer at Quantum Corporation... Read More →
5fbb918a309a0d6e2a56de5a769c92f0;Alexander Trost;DevOps Engineer, Cloudibility;Currently Alexander is working for Cloudibility UG as a DevOps Engineer mostly focused on containerization and the Rook project. |   |  He is a Rook maintainer and works on several smaller Golang projects, such as the Dell Hardware Exporter for Prometheus (galexrt/dellhw_exporter... Read More →
2fc24d254a00c07252c997d8159501ba;Ria Bhatia;Program Manager, Microsoft;Ria Bhatia is a Program Manager for Azure within Microsoft. She's been working with the community on different ways to scale in Kubernetes. She actively maintains Virtual Kubelet and has spoken at multiple meetups and conferences, including LinuxCon in Shanghai. She's also helped... Read More →
2fc24d254a00c07252c997d8159501ba;Anubhav Mishra;Developer Advocate, HashiCorp;Anubhav Mishra is a Developer Advocate at HashiCorp. He created Atlantis - An Open Source project that helps teams collaborate on Infrastructure using Terraform. He previously worked at Hootsuite where he built distributed systems and micro service delivery platform. He loves Open... Read More →
9366cbdff27ed2500e7d132ec130443c;David Aronchick;Program Manager, Microsoft;David leads Open Source Machine Learning Strategy at Azure. This means he spends most of his time helping humans to convince machines to be smarter. He is only moderately successful at this. |   |  Previously, David led product management for Kubernetes at Google, launched GKE, and... Read More →
9366cbdff27ed2500e7d132ec130443c;Yaron Haviv;CTO, Iguazio;Yaron Haviv is a serial entrepreneur who has deep technological experience in the fields of big data, cloud, storage and networking. Prior to Iguazio, hewas the Vice President of Datacenter Solutions at Mellanox, where he led technology innovation, software development, and solution... Read More →
646b0925e129037f5908ef81b3422387;Mark Stemm;Senior Software Engineer, Sysdig;Mark is a Senior Software Engineer at Sysdig. He has a B.S. in Math/CS from Carnegie Mellon University and a M.S./Ph.D. in Computer Science from the University of California, Berkeley. |   |  He's worked at Fast Forward Networks on the first generation of internet-based live video... Read More →
2692b58cd8b2a0f97ae704b3c4f20112;Dan Wendlandt;CEO, Isovalent;Dan has been a leader in open source networking and security since helping start the Open vSwitch (OVS) project while at Nicira. OVS became the most popular software-defined networking platform for Linux and as part of that work Dan created and acted at the project technical lead... Read More →
d182a63bbc9fe3112291d6d84db3bdd0;Jonas Bonér;Founder & CTO, Lightbend Inc.;Jonas Bonér is founder and CTO of Lightbend, long-term contributor to Open Source, inventor of the Akka project, initiator and co-author of the Reactive Manifesto, and a Java Champion. Learn more at http://jonasboner.com
f2f331ad8f573c0ec43b174b06c84798;Lin Sun;Senior Technical Staff Member, IBM;Lin is an Istio maintainer, a member of the Istio steering committee and technical oversight committee. She is passionate about new technologies and love to play with them. She is a master inventor, currently, holds 100+ patents filed or pending with USPTO along with hundreds of articles... Read More →
f2f331ad8f573c0ec43b174b06c84798;Zack Butcher;Founding Engineer, Tetrate;Zack is core contributor @IstioMesh and a founding engineer at Tetrate. Prior to Tetrate, he worked at Google as one of the earliest engineers on Istio. Before that he worked on a variety of teams across Google Cloud Platform, focusing on authorization, policy, data retention, and... Read More →
f2f331ad8f573c0ec43b174b06c84798;Jason McGee;IBM Fellow, IBM;Jason McGee, IBM Fellow, is VP and CTO, IBM Cloud Platform. Jason is currently responsible for the IBM Cloud’s foundation services, including Kubernetes Containers, Functions, MessageHub, Logging, Monitoring, Container Registry, Terraform and Activity Tracker. Jason is also responsible... Read More →
f2f331ad8f573c0ec43b174b06c84798;William Morgan;CEO, Buoyant;William Morgan is the cofounder and CEO of Buoyant, creators of Linkerd. Prior to Buoyant, he was an infrastructure engineer at Twitter, where he helped move Twitter from monolith to microservices. He was a software engineer at Powerset, Microsoft, and Adap.tv, and a research scientist... Read More →
f2f331ad8f573c0ec43b174b06c84798;Louis Ryan;Principal Software Engineer, Google;Louis Ryan is a Principal Engineer at Google working on APIs and microservices. Prior to working on Istio he co-authored the GRPC spec and ran the infrastructure that supports Google's consumer-facing APIs.
900c8f68a63f7707e4367c17e4758af5;Janet Kuo;Software Engineer, Google;Janet is a Software Engineer for Google Cloud. She joined the Kubernetes project before the 1.0 launch in 2015. She is the owner of Kubernetes workload APIs and an active SIG Apps contributor. She enjoys speaking at conferences and meetups about Kubernetes and has delivered talks... Read More →
89990fc7f4a593dd706fb0b58774c019;Gabe Monroy;Partner Program Manager, Microsoft;
dc79678976f980a3e1f1c99962fd76ec;Janet Kuo;Software Engineer, Google;Janet is a Software Engineer for Google Cloud. She joined the Kubernetes project before the 1.0 launch in 2015. She is the owner of Kubernetes workload APIs and an active SIG Apps contributor. She enjoys speaking at conferences and meetups about Kubernetes and has delivered talks... Read More →
569c891963691b7a15ee9382c1184675;Joe Beda;Principal Engineer, VMware;Joe is a professional Software Engineer with experience with Microsoft and Google, living and working in the Seattle area.Joe is a Principal Engineer at VMware helping to drive Cloud Native technologies (including Kubernetes). He joined via the acquisition of Heptio, a startup he... Read More →
dde6900b24bc8669906e8218b30cc5f9;Ricardo Rocha;Computing Engineer, CERN;Ricardo is a software engineer at CERN currently part of the CERN cloud team, focusing primarily on networking and container based deployments. Previously he helped develop and deploy several components of the Worldwide LHC Computing Grid, a network of ~200 collaborating sites around... Read More →
dde6900b24bc8669906e8218b30cc5f9;Lukas Heinrich;Physicist, CERN;Lukas Heinrich is a particle physicist working on the ATLAS Experiment. He focuses on introducing modern cloud computing tools to more systematically search for phenomena beyond the Standard Model of Particle Physics.
171d15d282e98a3d23a973d6665e59de;Rob Szumski;Principal Product Manager for OpenShift, Red Hat;Rob Szumski is Principal Product Manager for OpenShift at Red Hat. Focused on product design from open source to commercial offerings, Rob has deep experience in UX, web interfaces, and CLI. Rob likes to experiment with the technology he works on to understand it from both the developer's... Read More →
ad0016fc8735d0fc745459e0bb508f51;Cheryl Hung;Director of Ecosystem, CNCF;Cheryl Hung is the Director of Ecosystem at the CNCF. Her mission is to increase the adoption of Kubernetes and cloud native by growing the community and advocating for end users. She founded and runs the Cloud Native London meetup. |   |  Previously Cheryl spent five years as a C... Read More →
1e8d415abcd274d046d729b904654cdb;Janet Kuo;Software Engineer, Google;Janet is a Software Engineer for Google Cloud. She joined the Kubernetes project before the 1.0 launch in 2015. She is the owner of Kubernetes workload APIs and an active SIG Apps contributor. She enjoys speaking at conferences and meetups about Kubernetes and has delivered talks... Read More →
ab7733229e6711b39e454c5670a6d0ff;Joab Jackson;Managing Editor, The New Stack;
ab7733229e6711b39e454c5670a6d0ff;Alex Williams;Founder & Editor-in-Chief, The New Stack;
ab7733229e6711b39e454c5670a6d0ff;Pere Monclus;CTO, Network & Security, VMware;
1b7e782dbbe7f677f8bf27fbd7181593;Bryan Liles;Senior Staff Engineer, VMware;
eb74b05763e1f348b5376ed5e7594843;David Xia;Infrastructure Engineer, Spotify;David Xia is an infrastructure engineer at Spotify who works on deployment tooling. His team is currently upgrading Spotify’s infrastructure to use Kubernetes. Previously, David helped build Spotify’s in-house Docker tools and platforms. He dreams of a more livable and just world... Read More →
7cd22421ed299ff8b7f1eedd8be98d15;Bob Quillin;VP Developer Relations, Oracle Cloud;As Vice President of Developer Relations for Oracle Cloud Infrastructure (OCI), Bob Quillin leads OCI developer relations, advocacy, engagement, and lighthouse adoption. Bob joined Oracle as part of the StackEngine acquisition by Oracle in December 2015, where he was co-founder and... Read More →
be106775f2a64f8c846c96f42e162dda;Katie Gamanji;Cloud Platform Engineer, Condé Nast;
34ec0411391dbcbed6bc69ca8222a557;Jason McGee;IBM Fellow, IBM;Jason McGee, IBM Fellow, is VP and CTO, IBM Cloud Platform. Jason is currently responsible for the IBM Cloud’s foundation services, including Kubernetes Containers, Functions, MessageHub, Logging, Monitoring, Container Registry, Terraform and Activity Tracker. Jason is also responsible... Read More →
893714a2bb87d7ff3112bf6a9c78710a;Saad Ali;Senior Software Engineer, Google;Saad Ali is a senior software engineer at Google where he works on the open-source Kubernetes project. He joined the project in December 2014, and has led the development of the Kubernetes storage and volume subsystem. He serves as a lead of the Kubernetes Storage SIG, and is co-author... Read More →
98395ab64444de2b3d3402385f0e73f6;Bryan Liles;Senior Staff Engineer, VMware;
5ca6bf4049d71784fe26ad9c9d4cc461;Ralph Squillace;Principal Program Manager, Microsoft;Ralph Squillace is a Principal Program Manager for Microsoft, helping the team supporting Helm, Draft, Brigade, CNAB, and the Visual Studio Code Kubernetes extension in the Cloud Compute Team. He's worked in distributed computing for far too many years, and it shows. He's presented... Read More →
5ca6bf4049d71784fe26ad9c9d4cc461;Ivan Towlson;Principal Software Engineer, Microsoft;Ivan Towlson is the maintainer of Visual Studio Code extensions for Kubernetes, Helm and Duffle. He is an engineer at Microsoft focusing on cloud native developer tools and experience, and previously worked on projects from 3D rendering in the cloud to civil engineering software on... Read More →
904e4f9eda7b6a36f2f2113a0291766c;Liron Levin;Chief architect, Twistlock;Liron is the Chief Software Architect at Twistlock, where he focus on scaling, engineering methodologies and security . Before that, he worked as a tech lead at Microsoft on cloud computing and machine learning projects. He is an active contributor to popular open source go projects... Read More →
904e4f9eda7b6a36f2f2113a0291766c;Ariel Zelivansky;Security Research Team Lead, Twistlock;Ariel Zelivansky leads the security research team at Twistlock, where his team deals with hacking and securing anything related to containers, serverless and cloud native infrastructure. Ariel is responsible for the disclosure of many security issues in cloud components such as Alpine... Read More →
b21864038538dfa0a473a61488e48dbe;Cheryl Hung;Director of Ecosystem, CNCF;Cheryl Hung is the Director of Ecosystem at the CNCF. Her mission is to increase the adoption of Kubernetes and cloud native by growing the community and advocating for end users. She founded and runs the Cloud Native London meetup. |   |  Previously Cheryl spent five years as a C... Read More →
dbe68a00a2577bcda186927ff969bf8e;Stefan Schimanski;Principal Software Engineer, Red Hat;Stefan is a developer at Red Hat working on Kubernetes and OpenShift,with a focus on API machinery, extension points and developer tools. Stefan is a Google Summer of Code mentor and generally loves to teach and help people to learn. Before Red Hat he worked for Mesosphere on Marathon... Read More →
8b7879e818e6203725782b071216a870;Mark Puddick;Advisory Platform Architect, Pivotal;Mark is a technologist with over 20 years experience in architecting and engineering software at the leading edge of technology. Currently working as a Platform Architect at Pivotal, he has spent a large part of his career building software and now spends his time working with infrastructure... Read More →
49054ed7bfaa6ce9e4293112d54c4934;Lucina Stricko;Product Manager, Vulk Coop & CNCF;Lucina Stricko is a co-owner at Vulk Co-operative (vulk.coop) and Product Owner of the CNCF CI Status Dashboard (cncf.ci). Lucina uses her Certified Scrum Product Owner knowledge and empathy to combine features, priorities, and project plans to best serve the end user. When Lucina’s... Read More →
49054ed7bfaa6ce9e4293112d54c4934;Denver Williams;Project Co-Lead, cncf.ci, Vulk Coop & CNCF;If you look deep in the abyss of the datacenter, where glue, copper, and deployment scripts intersect, you’ll find Denver Williams.  DevOps to the core, Denver finds a way to squeeze custom builds of Kubernetes into all manner of environments that you didn’t think were possible... Read More →
bb024b7f419fbbb263852e3eb6752244;Zhipeng Huang;Principle Engineer, Huawei;Zhipeng Huang currently serve as open source operation manager for Huawei. Zhipeng have been involved with various major open source communities and is now the PTL of OpenStack Cyborg project, co-chair of OpenStack Public Cloud WG, and co-lead of the Kubernetes Policy WG.Zhipeng Huang... Read More →
bb024b7f419fbbb263852e3eb6752244;Justin Cappos;Professor, New York University;Justin Cappos is a professor in the Computer Science and Engineering department at New York University, who strives to provide service to society through technology. Justin's research philosophy focuses on solving real world security problems in practice. He and his students often... Read More →
415b9c22e4b3dcace6394557feb635e3;Stephen Augustus;Sr. Cloud Native Architect, VMware;Stephen Augustus is an active leader in the Kubernetes community. He currently serves as the Product Management Chair for Kubernetes, and a Chair for both the Release and Azure SIGs. |   |  Stephen's job at VMware includes driving meaningful interactions between internal teams and... Read More →
415b9c22e4b3dcace6394557feb635e3;Tim Pepper;Open Source Engineer, VMware;Tim is a software engineer with over 20 years open source development experience. He is currently a member of VMware’s Open Source Technology Center acting as an open source developer advocate and contributing to upstream projects such as Kubernetes, where most recently he’s served... Read More →
01abb30b067144bdc2e1f234c8bb0704;Tim Hinrichs;CTO, Styra;Tim Hinrichs is the CTO and Co-founder of Styra.  For the last 15 years, he designed and built policy languages across different domains, most recently the CNCF Open Policy Agent and prior to that OpenStack Congress.  Before Styra he worked as a software developer at VMware on Nicira's... Read More →
01abb30b067144bdc2e1f234c8bb0704;Torin Sandall;Software Engineer, Styra;
de325a4e4155f5d947e6f334407f8284;Mike Danese;Software Engineer, Google;Mike is a software engineer at Google. He has worked on Kubernetes and GKE for over four years and is currently the lead of the GKE Identity Team. He is a chair and TL of the Kubernetes Auth Special Interest Group. He develops and maintains authentication infrastructure in Kubernetes... Read More →
de325a4e4155f5d947e6f334407f8284;Mo Khan;Software Engineer, Red Hat, Inc;Mo Khan is a Software Engineer on the OpenShift Auth team at Red Hat. He has worked on this team since its inception in 2017. Mo is a component owner for all auth related features in OpenShift such as role based access control, security context constraints, OAuth, identity management... Read More →
02009324cde1329caca0150b1c538b34;Lizan Zhou;Founding Engineer, Tetrate;Lizan Zhou is a Founding Engineer at Tetrate leading traffic management. He is a senior maintainer of Envoy and one of core contributors of Istio. Previously he was working at Google Cloud, during his time at Google he worked on security and networking on Istio and Cloud Endpoints... Read More →
d667dc1f72fd4951711063ad9814e816;Deepthi Sigireddi;Software Engineer, PlanetScale;Deepthi is a Software Engineer at PlanetScale, where she focuses on support and new feature development for Vitess, a CNCF project. She is an active Vitess maintainer who loves to talk about how technology is changing the world. In her spare time, she likes to hike the trails around... Read More →
d667dc1f72fd4951711063ad9814e816;Sugu Sougoumarane;CTO, PlanetScale;Sugu is CTO at PlanetScale. He is also the lead developer and community leader of the Vitess open source project which he co-created at Youtube in 2010. Vitess has helped multiple companies scale MySQL massively. Prior to Vitess, he worked on various scaling and infrastructure projects... Read More →
8878ff533c98a5caac8811255234090a;Lucas Servén Marín;Senior Software Engineer, Red Hat;I am a Spanish software engineer currently working for Red Hat in Berlin. By trade I am an electrical engineer, with a Masters in robotics. After two years at CoreOS, I joined Red Hat where I work on Prometheus. Outside of work, I am passionate about deep learning and hack on machine... Read More →
f0da368732ad885b6e622c6ab8b6a061;Rob Skillington;Staff Software Engineer, Uber;Rob helps run computers at Uber and leads the development of the open source metrics platform M3. He is the creator of M3DB, the time series database built for M3 to scale to the needs of Uber's ever growing metrics footprint, now more than ten billion metrics. He is also a member... Read More →
3cbe7d7a65fdcfc87b6ccc2d2caa3cc9;Vinay Kulkarni;Sr. Architect, Futurewei;Vinay works as Senior Lead Architect, Cloud BU in the Seattle Research Center of Futurewei R&D Labs. He contributes to the advancement of Kubernetes cluster resource management, container runtime, and K8s networking areas. Before Futurewei, Vinay worked for VMware, contributing to... Read More →
7570ff5b41389be8a4de33607dc5812e;Evan Gilman;Engineer, Scytale;Evan Gilman is an engineer with a background in computer networks. With roots in academia, and currently working on the SPIFFE project, he has been building and operating systems in hostile environments his entire professional career. An open source contributor, speaker, and author... Read More →
7570ff5b41389be8a4de33607dc5812e;Shaun Crampton;Senior Software Engineer, Tigera;Shaun is a Senior Software Engineer at Tigera, working as a core developer on Project Calico. Before joining the Tigera team, Shaun worked on a number of Software Defined Networking products and cloud scale applications. He holds a BA in Computer Science from Cambridge University... Read More →
303f668f7a0d81c9e9268d315a05a382;Alex Ellis;Founder, OpenFaaS Ltd; Alex Ellis is an experience engineer, architect, speaker and author who founded OpenFaaS in 2016 to Make Serverless Functions Simple for developers. He writes on Kubernetes, Containers, Go, Developer Experience, ARM and Serverless.
303f668f7a0d81c9e9268d315a05a382;Joost Noppen;Principal Researcher, BT PLC;Joost Noppen is a Principal Researcher, Software at BT Technology and brings an end-user perspective with many years of research experience and execution in academia and enterprise. His work centres on streamlining development practice in a highly dynamic organisation, with a primary... Read More →
1967c04f3cc9d3961966f2c25c013849;Ben Lambert;CTO, Just Football;Ben Lambert is the CTO of Just Football. A Stockholm based startup creating a game to get more active and playing more football. Originally from the UK, Ben worked as a Senior Developer for BBC Sport, where he helped create a platform which enabled BBC Sport (and now most of the BBC... Read More →
1967c04f3cc9d3961966f2c25c013849;Kevin Lingerfelt;Software Engineer, Buoyant;Kevin Lingerfelt is a software engineer at Buoyant and a core contributor to the Linkerd project, focusing mostly on the control plane, which is written in Go. Prior to working at Buoyant, Kevin was a senior staff software engineer at Twitter, working on infrastructure and decomposition... Read More →
2d6794d24389d804ea3e68ed640a65fa;Jared Watts;Founding Engineer, Upbound;"Jared Watts is a Founding Engineer at Upbound, where he is working on advancing cloud-native computing by ""freeing the cloud"". He is also a senior maintainer for the open source Rook (https://rook.io/) and Crossplane (https://crossplane.io/) projects. Prior to Upbound, Jared worked... Read More →"
